num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3019	3290.143348	30.002078	-1.191893	-1.482729	3.681229
3021	3292.230579	29.874742	-1.180835	-1.489286	3.755369
3023	3294.320754	29.645005	-1.025105	-1.494939	3.555879
3025	3296.410540	30.763461	-1.195517	-1.494507	4.040804
3027	3298.497420	31.671199	-0.904885	-1.498268	3.665132
3029	3300.585894	33.686428	-1.077232	-1.465132	2.850978
3031	3302.668823	33.372155	-1.398059	-1.492386	4.447983
3033	3304.747112	33.704948	-0.940222	-1.484743	4.124032
3035	3306.830344	34.326127	-0.939423	-1.480398	4.776879
3037	3308.915941	34.667667	-0.899444	-1.484918	5.351156
3039	3311.002842	36.022670	-0.715930	-1.489998	4.834873
3041	3313.089045	38.773349	1.054207	-1.481814	4.539855
3043	3315.173112	36.447684	-0.582547	-1.490724	5.023495
3045	3317.264665	38.378967	-0.715487	-1.465511	5.137740
3047	3319.356310	37.514637	-0.719057	-1.482461	5.323548
3049	3321.443734	37.467011	-4.204413	-1.491936	5.620666
3051	3323.536029	38.980858	-0.663007	-1.491899	5.922892
3053	3325.622132	39.208913	-0.513531	-1.480968	6.106837
3055	3327.706868	39.698660	-0.647319	-1.480120	6.566812
3057	3329.791813	40.430888	-0.621061	-1.481593	5.989974
3059	3331.871323	38.524311	1.148204	-1.515206	6.256249
3061	3333.954381	41.657970	-0.211385	-1.488155	7.204480
3063	3336.034683	40.951920	-0.504156	-1.471938	6.784142
3065	3338.115952	42.407082	-0.423044	-1.494015	6.888734
3067	3340.197648	43.142989	-0.096960	-1.493920	6.970919
3069	3342.282719	43.388319	-0.426440	-1.488929	7.097115
3071	3344.367182	46.660437	-0.209249	-1.503048	7.157393
3073	3346.455681	49.018766	1.031107	-1.477608	7.609799
3075	3348.542429	46.328928	-0.408615	-1.472971	7.507424
3077	3350.631925	48.608167	-3.587227	-1.477306	7.775137
3079	3352.718665	45.541378	0.058378	-1.491545	7.931054
3081	3354.804307	45.885115	-0.155439	-1.486307	8.723810
3083	3356.890224	46.556485	-0.436923	-1.479570	8.894508
3085	3358.972762	46.883541	-0.198702	-1.494031	8.574136
3087	3361.055785	51.683707	0.933130	-1.473982	8.431501
3089	3363.138673	49.434740	-0.291150	-1.476635	9.105154
3091	3365.218743	48.192681	-0.145234	-1.485464	9.636003
3093	3367.298948	48.334847	-0.060562	-1.472030	9.034132
3095	3369.380949	48.452857	-0.283796	-1.496382	9.101997
3097	3371.460992	49.093172	0.305748	-1.488899	9.328420
3099	3373.545265	53.722234	1.458602	-1.483973	9.570536
3101	3375.629468	49.510788	0.181353	-1.484529	9.776910
3103	3377.715584	50.111108	-0.140411	-1.495044	9.611557
3105	3379.801223	51.104538	-0.081363	-1.473219	10.334653
3107	3381.888039	50.418824	0.011894	-1.486920	10.147061
3109	3383.973934	51.105657	-0.571287	-1.486756	10.608436
3111	3386.060007	50.865001	0.132285	-1.497073	10.712272
3113	3388.145792	55.973723	1.138349	-1.477782	11.129128
3115	3390.230393	51.746157	0.764952	-1.493206	10.603767
3117	3392.313629	51.975369	0.209704	-1.492183	10.997581
3119	3394.397348	52.289776	0.227732	-1.491675	10.801719
3121	3396.480486	52.612827	0.284676	-1.499812	10.687063
3123	3398.562839	57.427248	1.517611	-1.470895	11.518483
3125	3400.644013	53.048837	0.384395	-1.490325	11.649067
3127	3402.725055	58.348584	-2.431434	-1.492847	11.607473
3129	3404.808726	55.657562	0.065315	-1.478006	11.831036
3131	3406.889578	58.537155	-4.960267	-1.473051	11.195458
3133	3408.972130	55.507973	0.134896	-1.476626	11.583745
3135	3411.053650	54.465230	0.072704	-1.478862	11.748712
3137	3413.137377	54.552961	0.454112	-1.493605	11.718580
3139	3415.221607	57.245621	0.205215	-1.477554	12.280109
3141	3417.305851	54.011567	-0.991775	-1.502925	10.049336
3143	3419.389806	54.702237	0.792887	-1.494437	12.589442
3145	3421.474013	60.288350	1.449886	-1.472039	12.203860
3147	3423.558167	56.600508	0.608871	-1.473601	12.448125
3149	3425.640252	53.871188	0.153004	-1.506784	12.898956
3151	3427.722735	60.592583	1.272127	-1.476236	12.789815
3153	3429.806626	60.402385	1.461993	-1.473964	12.840936
