crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.015154	1392	1560034432.000000
281474976710655.000000	3.896653	1393	1561082752.000000
281474976710655.000000	3.695611	1394	1562112384.000000
281474976710655.000000	3.630089	1395	1563158144.000000
281474976710655.000000	3.640732	1396	1564198272.000000
281474976710655.000000	3.552541	1397	1565240448.000000
281474976710655.000000	3.618879	1398	1566285440.000000
281474976710655.000000	3.389829	1399	1567321472.000000
281474976710655.000000	4.085825	1400	1568365312.000000
281474976710655.000000	4.051331	1401	1569405824.000000
281474976710655.000000	3.764952	1402	1570451584.000000
281474976710655.000000	3.856712	1403	1571486208.000000
281474976710655.000000	3.429882	1404	1572536064.000000
281474976710655.000000	3.848313	1405	1573569792.000000
281474976710655.000000	4.033514	1406	1574619264.000000
281474976710655.000000	3.442968	1407	1575649408.000000
281474976710655.000000	3.941522	1408	1576701056.000000
281474976710655.000000	4.110755	1409	1577741696.000000
281474976710655.000000	3.990035	1410	1578780544.000000
281474976710655.000000	3.930341	1411	1579816320.000000
281474976710655.000000	3.665480	1412	1580861312.000000
281474976710655.000000	3.977442	1413	1581898752.000000
281474976710655.000000	4.156591	1414	1582946816.000000
281474976710655.000000	3.853250	1415	1583988864.000000
281474976710655.000000	4.169677	1416	1585022464.000000
281474976710655.000000	4.252126	1417	1586067712.000000
281474976710655.000000	4.223859	1418	1587104640.000000
281474976710655.000000	4.318944	1419	1588154368.000000
281474976710655.000000	3.865434	1420	1589187968.000000
281474976710655.000000	3.941312	1421	1590238080.000000
281474976710655.000000	4.410020	1422	1591269760.000000
281474976710655.000000	4.191803	1423	1592323072.000000
281474976710655.000000	4.347559	1424	1593351936.000000
281474976710655.000000	4.410296	1425	1594402688.000000
281474976710655.000000	4.548071	1426	1595431936.000000
281474976710655.000000	4.266607	1427	1596484224.000000
281474976710655.000000	4.241390	1428	1597515008.000000
281474976710655.000000	4.133762	1429	1598568064.000000
281474976710655.000000	4.154996	1430	1599598208.000000
281474976710655.000000	4.405285	1431	1600650624.000000
281474976710655.000000	4.713023	1432	1601680384.000000
281474976710655.000000	4.470742	1433	1602735232.000000
281474976710655.000000	4.445458	1434	1603759744.000000
281474976710655.000000	4.373677	1435	1604819328.000000
281474976710655.000000	4.393412	1436	1605843712.000000
281474976710655.000000	4.360787	1437	1606899072.000000
