time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2193.251341	55.396095	0.035936	1.541537	207
2194.255155	67.361374	0.035935	1.874540	208
2195.320883	57.385757	0.035937	1.596864	209
2196.326642	69.215073	0.035935	1.926128	210
2197.402462	56.676716	0.035940	1.576982	211
2198.404391	68.443596	0.035938	1.904473	212
2199.497248	55.711475	0.035934	1.550369	213
2200.500458	66.061729	0.035936	1.838333	214
2201.575585	56.956223	0.035933	1.585057	215
2202.567050	70.436974	0.035938	1.959936	216
2203.657682	56.396187	0.035933	1.569494	217
2204.666173	67.646828	0.035939	1.882278	218
2205.719186	60.956436	0.035935	1.696311	219
2206.742031	68.072639	0.035936	1.894265	220
2207.825276	57.249416	0.035940	1.592919	221
2208.819577	69.818176	0.035939	1.942677	222
2209.894489	60.200722	0.035934	1.675328	223
2210.913452	68.361748	0.035934	1.902436	224
2211.983798	57.611553	0.035935	1.603220	225
2212.985959	70.039421	0.035936	1.948981	226
2214.070934	58.087997	0.035937	1.616398	227
2215.079749	142.014343	0.035935	3.951946	228
2216.151747	58.502567	0.035937	1.627926	229
2217.132744	75.345596	0.035940	2.096430	230
2218.238168	57.166553	0.035936	1.590783	231
2219.241702	69.161400	0.035932	1.924788	232
2220.310415	59.595348	0.035936	1.658373	233
2221.319389	70.139053	0.035933	1.951963	234
2222.392813	59.397629	0.035935	1.652938	235
2223.407321	68.273338	0.035940	1.899642	236
2224.476333	60.042210	0.035939	1.670667	237
2225.481299	70.714340	0.035938	1.967664	238
2226.566202	58.588097	0.035936	1.630348	239
2227.566906	70.891075	0.035935	1.972782	240
2228.644275	58.990898	0.035937	1.641498	241
2229.651848	69.464790	0.035937	1.932965	242
2230.725283	59.582577	0.035934	1.658125	243
2231.729235	70.737434	0.035932	1.968660	244
2232.806779	60.490551	0.035935	1.683310	245
2233.810962	71.439568	0.035936	1.987976	246
2234.883679	61.523174	0.035934	1.712137	247
2235.863348	81.615929	0.035931	2.271476	248
2236.969426	59.994236	0.035936	1.669458	249
2237.978660	70.461914	0.035936	1.960783	250
2239.052452	60.220554	0.035937	1.675745	251
2240.060767	70.706787	0.035934	1.967695	252
2241.141792	59.682411	0.035934	1.660912	253
2242.148794	69.661957	0.035933	1.938638	254
2243.219363	60.194847	0.035940	1.674889	255
2244.226134	70.891998	0.035941	1.972431	0
2245.296946	60.991009	0.035933	1.697346	1
2246.297105	74.575516	0.035935	2.075286	2
2247.389659	59.420040	0.035936	1.653495	3
2248.395167	69.261581	0.035939	1.927202	4
2249.465053	61.177044	0.035936	1.702372	5
2250.453622	77.980820	0.035936	2.169978	6
2251.553462	59.223759	0.035937	1.648005	7
2252.559762	69.311424	0.035937	1.928689	8
2253.630960	60.387291	0.035938	1.680328	9
2254.640293	69.504433	0.035934	1.934227	10
2255.717236	59.836437	0.035940	1.664889	11
2256.719769	70.946037	0.035935	1.974275	12
2257.793604	61.230759	0.035936	1.703899	13
2258.801391	70.930573	0.035936	1.973826	14
2259.876785	60.892155	0.035934	1.694573	15
2260.889358	68.909843	0.035934	1.917661	16
2261.957782	60.852367	0.035938	1.693237	17
2262.964302	71.374352	0.035933	1.986294	18
2264.041778	60.856190	0.035938	1.693349	19
2265.049377	70.822395	0.035935	1.970831	20
2266.127261	59.779182	0.035937	1.663446	21
2267.148294	63.285294	0.035934	1.761137	22
2268.204335	61.383728	0.035935	1.708208	23
2269.213405	71.143967	0.035937	1.979700	24
2270.285263	60.938934	0.035935	1.695799	25
2271.293580	71.691101	0.035938	1.994860	26
2272.370884	61.053154	0.035933	1.699060	27
2273.380667	69.545601	0.035936	1.935288	28
2274.452742	61.422146	0.035936	1.709212	29
2275.460487	70.679276	0.035934	1.966925	30
2276.440083	84.520233	0.035934	2.352104	31
2277.554171	66.861481	0.035936	1.860587	32
2278.617962	60.666084	0.035935	1.688227	33
2279.623164	71.691597	0.035938	1.994887	34
2280.700243	60.506729	0.035939	1.683589	35
2281.687450	79.167366	0.035934	2.203132	36
2282.781837	60.739090	0.035938	1.690101	37
2283.793998	69.435738	0.035937	1.932156	38
